activation,init,lr,lr_reg,opt,reg,units1,loss
linear, random_normal, 0.001, 1e-05, Adamgrad, l1l2, 128, 34.2716
linear, random_normal, 0.0001, 1e-05, Adamgrad, l1, 128, 98.8961
relu, random_uniform, 0.0001, 1e-05, Adamgrad, l1l2, 128, 98.2976
relu, random_normal, 0.001, 1e-05, SGD, l1l2, 128, 15.7616
relu, random_uniform, 0.01, 0.0001, SGD, l1, 64, 11.9076
relu, random_normal, 0.001, 0.001, RMSprop, l1l2, 64, 13.5805
relu, random_normal, 0.001, 0.0001, SGD, l1l2, 128, 17.5305
linear, random_uniform, 0.001, 0.001, Adam, l1, 32, 96.6274
linear, random_normal, 0.001, 0.0001, Adamgrad, l2, 64, 53.2741
relu, random_uniform, 0.0001, 0.01, RMSprop, l2, 32, 20.2889
linear, random_uniform, 0.01, 1e-05, Adam, l1l2, 128, 16.9665
relu, random_normal, 0.01, 1e-05, SGD, l1, 32, 11.5763
linear, random_uniform, 0.0001, 0.01, Adam, l1, 64, 98.1983
relu, random_uniform, 0.0001, 0.0001, RMSprop, l1, 32, 12.4289
relu, random_normal, 0.01, 0.01, RMSprop, l1l2, 32, 99.4993
linear, random_uniform, 0.0001, 0.001, RMSprop, l2, 128, 10.6519
relu, random_normal, 0.0001, 0.01, Adamgrad, l1l2, 32, 98.7656
relu, random_uniform, 0.01, 0.01, Adamgrad, l1l2, 64, 99.5023
relu, random_normal, 0.0001, 0.001, SGD, l2, 64, 56.5061
linear, random_uniform, 0.01, 0.001, Adam, l1, 64, 48.17
linear, random_uniform, 0.01, 0.001, RMSprop, l2, 32, 19.0874
linear, random_normal, 0.01, 0.001, SGD, l2, 32, 11.6318
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4983
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.3864
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.6217
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.5544
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.3384
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4866
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.5137
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.5311
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4076
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.37
linear, random_uniform, 0.0001, 1e-05, Adamgrad, l2, 128, 97.3742
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.5798
linear, random_uniform, 0.001, 0.0001, Adam, l2, 128, 47.67
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4252
linear, random_uniform, 0.001, 1e-05, Adamgrad, l2, 128, 46.8782
linear, random_uniform, 0.0001, 0.0001, SGD, l1, 128, 49.7867
linear, random_uniform, 0.001, 1e-05, RMSprop, l2, 128, 10.8081
linear, random_normal, 0.0001, 1e-05, Adam, l1l2, 128, 97.1831
linear, random_uniform, 0.001, 0.0001, RMSprop, l2, 64, 10.6935
linear, random_uniform, 0.0001, 0.01, SGD, l1, 128, 99.4987
linear, random_normal, 0.0001, 1e-05, Adamgrad, l1l2, 128, 99.0851
relu, random_uniform, 0.001, 1e-05, RMSprop, l2, 64, 10.3955
linear, random_uniform, 0.0001, 0.0001, Adam, l1, 128, 98.5507
relu, random_normal, 0.01, 0.01, RMSprop, l2, 32, 22.5931
linear, random_uniform, 0.0001, 1e-05, RMSprop, l1l2, 128, 11.5498
linear, random_uniform, 0.0001, 0.001, SGD, l2, 64, 88.5023
relu, random_normal, 0.001, 0.01, Adamgrad, l1, 32, 98.3966
linear, random_uniform, 0.01, 1e-05, Adam, l1l2, 128, 17.1277
relu, random_uniform, 0.0001, 0.0001, RMSprop, l2, 64, 11.0469
linear, random_normal, 0.0001, 0.001, RMSprop, l2, 32, 11.484
linear, random_uniform, 0.01, 1e-05, SGD, l1, 128, 11.1294
relu, random_uniform, 0.0001, 0.01, Adamgrad, l1l2, 128, 98.9644
linear, random_normal, 0.001, 1e-05, RMSprop, l2, 64, 10.5992
linear, random_uniform, 0.0001, 0.001, Adam, l2, 32, 99.3064
relu, random_uniform, 0.01, 1e-05, RMSprop, l1, 128, 12.6932
linear, random_uniform, 0.0001, 0.0001, SGD, l2, 128, 46.3134
linear, random_normal, 0.0001, 1e-05, RMSprop, l1l2, 128, 11.7729
linear, random_uniform, 0.0001, 0.01, RMSprop, l2, 32, 12.8971
relu, random_uniform, 0.01, 0.001, Adamgrad, l2, 64, 14.1782
linear, random_uniform, 0.0001, 1e-05, Adam, l2, 128, 99.3348
linear, random_normal, 0.001, 1e-05, RMSprop, l1, 128, 10.6923
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.3843
relu, random_uniform, 0.0001, 0.0001, SGD, l1l2, 32, 97.1994
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.6571
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4134
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4481
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.6179
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.3482
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4053
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.653
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4682
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.5976
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4512
linear, random_uniform, 0.01, 0.01, Adamgrad, l2, 128, 16.9817
linear, random_uniform, 0.001, 0.001, Adam, l2, 64, 70.385
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4304
linear, random_uniform, 0.0001, 1e-05, RMSprop, l1, 128, 10.5142
linear, random_normal, 0.0001, 0.0001, SGD, l2, 128, 32.2713
