tentativa,activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
0,linear,0.1,random_uniform,0.01,0.00001,4,Adamgrad,l2,64,91.1091
1,relu,0.3,random_normal,0.0001,0.0001,4,RMSprop,l1l2,32,91.1091
2,relu,0.1,random_uniform,0.0001,0.001,2,SGD,l1,128,91.1091
3,linear,0.1,random_uniform,0.0001,0.001,1,RMSprop,l2,128,40.5078
4,linear,0.3,random_uniform,0.001,0.0001,2,Adam,l1,128,91.1091
5,linear,0.5,random_normal,0.01,0.00001,4,SGD,l2,32,91.1091
6,relu,0.3,random_uniform,0.0001,0.001,1,Adamgrad,l1l2,64,91.1091
7,linear,0.5,random_normal,0.001,0.00001,4,RMSprop,l1l2,128,79.2573
8,relu,0.3,random_normal,0.0001,0.01,2,RMSprop,l1l2,128,91.1091
9,linear,0.3,random_uniform,0.01,0.01,1,Adamgrad,l1l2,128,91.1091
10,linear,0,random_uniform,0.01,0.001,4,SGD,l1,32,91.1091
11,linear,0,random_normal,0.0001,0.01,1,RMSprop,l2,64,59.976
12,linear,0.5,random_normal,0.01,0.0001,1,Adam,l1,128,58.0065
13,relu,0.1,random_uniform,0.0001,0.01,1,Adam,l2,64,91.1091
14,linear,0.5,random_uniform,0.01,0.001,2,RMSprop,l1,128,82.1447
15,relu,0.5,random_normal,0.0001,0.0001,2,Adamgrad,l1l2,32,91.1091
16,linear,0.5,random_normal,0.0001,0.0001,2,RMSprop,l2,64,48.4746
17,linear,0.3,random_uniform,0.01,0.0001,1,RMSprop,l2,32,44.6795
18,relu,0.5,random_normal,0.0001,0.01,1,Adamgrad,l2,64,91.1091
19,linear,0.1,random_uniform,0.0001,0.0001,1,Adamgrad,l2,128,91.1091
20,linear,0.7,random_uniform,0.001,0.001,1,RMSprop,l2,32,58.5233
21,linear,0.7,random_uniform,0.01,0.001,1,RMSprop,l2,32,59.6814
22,linear,0.1,random_uniform,0.001,0.001,1,RMSprop,l2,32,38.847
23,linear,0.1,random_uniform,0.001,0.001,1,RMSprop,l2,32,38.6515
24,linear,0.1,random_uniform,0.001,0.001,1,RMSprop,l2,32,39.0035
25,linear,0.1,random_uniform,0.001,0.001,1,SGD,l2,32,91.1091
26,linear,0.1,random_uniform,0.001,0.001,1,Adam,l2,32,91.1091
27,linear,0.1,random_uniform,0.001,0.001,1,RMSprop,l2,32,39.3396
28,linear,0,random_uniform,0.001,0.00001,4,RMSprop,l2,32,72.7123
29,linear,0.7,random_uniform,0.001,0.001,1,RMSprop,l2,32,56.8089
30,linear,0.1,random_uniform,0.001,0.00001,4,RMSprop,l2,32,77.1938
31,relu,0.1,random_uniform,0.001,0.001,1,SGD,l1,32,91.1091
32,linear,0.1,random_uniform,0.001,0.001,1,Adam,l2,32,91.1091
33,linear,0.1,random_uniform,0.001,0.001,1,RMSprop,l2,32,41.2376
34,relu,0.1,random_uniform,0.001,0.00001,2,SGD,l1,32,91.1091
35,linear,0,random_uniform,0.001,0.001,4,RMSprop,l2,64,76.0277
36,linear,0.7,random_uniform,0.001,0.001,1,RMSprop,l1l2,32,91.1091
37,relu,0.1,random_uniform,0.001,0.00001,4,Adam,l1l2,32,91.1091
38,linear,0.1,random_normal,0.001,0.001,2,Adamgrad,l2,32,91.1091
39,linear,0.3,random_uniform,0.001,0.01,1,SGD,l1,64,91.1091
40,linear,0,random_uniform,0.001,0.001,1,RMSprop,l1l2,32,78.0495
41,relu,0.1,random_normal,0.001,0.001,4,RMSprop,l2,128,43.7287
42,linear,0.7,random_uniform,0.01,0.00001,1,RMSprop,l1,32,46.2242
43,linear,0.3,random_uniform,0.001,0.01,2,Adam,l2,128,91.1091
44,relu,0.1,random_normal,0.01,0.0001,1,Adamgrad,l1l2,64,91.1091
45,linear,0,random_uniform,0.001,0.001,1,SGD,l2,32,91.1091
46,linear,0.1,random_uniform,0.0001,0.01,2,RMSprop,l1,128,91.1091
47,linear,0.3,random_normal,0.001,0.001,4,RMSprop,l2,64,60.1297
48,relu,0.5,random_uniform,0.01,0.0001,1,Adamgrad,l1l2,32,91.1091
49,linear,0.1,random_normal,0.0001,0.001,1,Adam,l2,32,91.1091
50,linear,0.7,random_uniform,0.001,0.00001,2,RMSprop,l2,128,40.6665
51,linear,0.5,random_uniform,0.01,0.01,1,RMSprop,l1,64,91.1091
52,relu,0.1,random_uniform,0.0001,0.0001,4,SGD,l2,32,91.1091
53,linear,0,random_normal,0.001,0.001,1,Adamgrad,l1l2,32,91.1091
54,linear,0.3,random_uniform,0.001,0.001,1,RMSprop,l2,128,39.5469
55,linear,0.1,random_uniform,0.0001,0.001,2,Adam,l2,32,91.1091
56,relu,0.5,random_normal,0.01,0.0001,1,RMSprop,l2,64,51.1108
57,linear,0.1,random_uniform,0.001,0.01,1,RMSprop,l1,32,91.1091
58,linear,0.7,random_uniform,0.001,0.001,4,Adamgrad,l2,32,91.1091
59,linear,0.1,random_uniform,0.0001,0.00001,1,SGD,l1l2,128,91.1091
60,linear,0.3,random_uniform,0.001,0.001,1,RMSprop,l2,32,38.3815
61,relu,0.3,random_normal,0.01,0.001,2,RMSprop,l2,32,60.7401
62,linear,0.3,random_uniform,0.001,0.0001,1,Adam,l2,64,91.1091
63,linear,0.3,random_uniform,0.001,0.001,1,RMSprop,l1,32,65.0888
64,linear,0.3,random_uniform,0.0001,0.01,4,RMSprop,l2,32,89.4094
65,linear,0.3,random_uniform,0.001,0.001,1,RMSprop,l2,32,38.5399
66,linear,0.3,random_uniform,0.001,0.001,1,RMSprop,l2,32,39.3776
67,linear,0.3,random_uniform,0.001,0.001,1,RMSprop,l2,32,38.3463
68,linear,0.3,random_uniform,0.001,0.001,1,RMSprop,l2,32,37.3124
69,linear,0.3,random_uniform,0.001,0.001,1,RMSprop,l2,32,39.6421
70,linear,0.3,random_uniform,0.001,0.001,1,RMSprop,l2,32,38.9309
71,linear,0.3,random_uniform,0.001,0.001,1,RMSprop,l2,32,40.56
72,linear,0.3,random_uniform,0.001,0.001,1,RMSprop,l2,32,38.7666
73,linear,0.3,random_uniform,0.001,0.001,1,RMSprop,l2,32,38.2639
74,linear,0.3,random_uniform,0.001,0.00001,1,SGD,l2,32,91.1091
75,linear,0.3,random_uniform,0.001,0.001,1,Adamgrad,l1l2,32,91.1091
76,linear,0.3,random_uniform,0.001,0.001,1,RMSprop,l2,128,41.5483
77,relu,0.3,random_uniform,0.001,0.001,2,RMSprop,l2,32,57.0709
78,linear,0.3,random_uniform,0.01,0.0001,1,Adam,l2,64,91.1091
79,linear,0.3,random_normal,0.001,0.001,1,RMSprop,l2,32,38.4051
